Feature,[G5.1.1.1],[G5.1.1.2],[G5.1.1.3],[G5.1.1.4],[G5.1.1.5],[G5.1.1.6],[G5.1.1.7],[G5.1.1.8],[G5.1.1.9],[G5.1.1.10],[G5.1.1.11],[G5.1.1.12],[G5.1.1.13],[G5.1.1.14],[G5.1.1.15],[G5.1.1.16],[G5.1.1.17],[G5.1.1.18],[G5.1.1.19],[G5.1.1.20],[G5.1.1.21],[G5.1.1.22],[G5.1.1.23],[G5.1.1.24],[G5.1.1.25],[G5.1.1.26],[G5.1.1.27],[G5.1.1.28],[G5.1.1.29],[G5.1.1.30],[G5.1.2.1],[G5.1.2.2],[G5.1.2.3],[G5.1.2.4],[G5.1.2.5],[G5.1.2.6],[G5.1.2.7],[G5.1.2.8],[G5.1.2.9],[G5.1.2.10],[G5.1.2.11],[G5.1.2.12],[G5.1.2.13],[G5.1.2.14],[G5.1.2.15],[G5.1.2.16],[G5.1.2.17],[G5.1.2.18],[G5.1.2.19],[G5.1.2.20],[G5.1.2.21],[G5.1.2.22],[G5.1.2.23],[G5.1.2.24],[G5.1.2.25],[G5.1.2.26],[G5.1.2.27],[G5.1.2.28],[G5.1.2.29],[G5.1.2.30],[G5.1.2.31],[G5.1.2.32],[G5.1.2.33],[G5.1.2.34],[G5.1.2.35],[G5.1.2.36],[G5.1.2.37],[G5.1.2.38],[G5.1.2.39],[G5.1.2.40],[G5.1.2.41],[G5.1.2.42],[G5.1.2.43],[G5.1.2.44],[G5.1.2.45],[G5.1.2.46],[G5.1.2.47],[G5.1.2.48],[G5.1.2.49],[G5.1.2.50],[G5.2.1.1],[G5.2.1.2],[G5.2.1.3],[G5.2.1.4],[G5.2.1.5],[G5.2.1.6],[G5.2.1.7],[G5.2.1.8],[G5.2.1.9],[G5.2.1.10],[G5.2.1.11],[G5.2.1.12],[G5.2.1.13],[G5.2.1.14],[G5.2.1.15],[G5.2.1.16],[G5.2.1.17],[G5.2.1.18],[G5.2.1.19],[G5.2.1.20],[G5.2.1.21],[G5.2.1.22],[G5.2.1.23],[G5.2.1.24],[G5.2.1.25],[G5.2.1.26],[G5.2.1.27],[G5.2.1.28],[G5.2.1.29],[G5.2.1.30],[G5.2.2.1],[G5.2.2.2],[G5.2.2.3],[G5.2.2.4],[G5.2.2.5],[G5.2.2.6],[G5.2.2.7],[G5.2.2.8],[G5.2.2.9],[G5.2.2.10],[G5.2.2.11],[G5.2.2.12],[G5.2.2.13],[G5.2.2.14],[G5.2.2.15],[G5.2.2.16],[G5.2.2.17],[G5.2.2.18],[G5.2.2.19],[G5.2.2.20],[G5.2.2.21],[G5.2.2.22],[G5.2.2.23],[G5.2.2.24],[G5.2.2.25],[G5.2.2.26],[G5.2.2.27],[G5.2.2.28],[G5.2.2.29],[G5.2.2.30],[G5.2.2.31],[G5.2.2.32],[G5.2.2.33],[G5.2.2.34],[G5.2.2.35],[G5.2.2.36],[G5.2.2.37],[G5.2.2.38],[G5.2.2.39],[G5.2.2.40],[G5.2.2.41],[G5.2.2.42],[G5.2.2.43],[G5.2.2.44],[G5.2.2.45],[G5.2.2.46],[G5.2.2.47],[G5.2.2.48],[G5.2.2.49],[G5.2.2.50]
seq4000,29.692153,31.367184,30.151722,30.868439,25.694220,30.787451,29.300369,26.914762,29.859443,29.114835,30.675776,26.246274,27.470758,23.190634,22.794239,26.589729,21.719940,25.006956,23.916641,20.215860,21.360501,20.798502,24.138202,26.513669,21.654063,23.576537,22.089616,23.833965,21.501814,22.102885,0.000321,0.000000,0.000642,0.001283,0.000642,0.000642,0.000321,0.001604,0.000963,0.000802,0.000160,0.000481,0.000321,0.000642,0.000481,0.000963,0.000481,0.000481,0.000321,0.001283,0.038109,0.040258,0.038698,0.039618,0.032977,0.039514,0.037606,0.034544,0.038323,0.037368,0.039371,0.033686,0.035257,0.029764,0.029255,0.034127,0.027877,0.032095,0.030696,0.025946,0.027415,0.026694,0.030980,0.034029,0.027792,0.030259,0.028351,0.030590,0.027597,0.028368,17.427020,16.732785,16.320238,18.617025,13.546198,16.630222,15.818821,14.447182,15.980703,14.828231,16.857761,14.990287,17.220141,14.211314,12.370687,15.768480,11.730773,13.966057,15.136939,10.901309,13.190373,11.699362,11.123029,14.315933,10.550438,13.313250,13.679438,11.186782,10.731444,10.116560,0.000577,0.000865,0.000865,0.001154,0.000000,0.001154,0.002307,0.001154,0.000577,0.002884,0.001442,0.001730,0.000288,0.001154,0.000577,0.001730,0.000865,0.000577,0.002307,0.000865,0.040209,0.038607,0.037656,0.042955,0.031255,0.038371,0.036499,0.033334,0.036872,0.034213,0.038896,0.034587,0.039732,0.032790,0.028543,0.036382,0.027066,0.032224,0.034925,0.025152,0.030434,0.026994,0.025664,0.033031,0.024343,0.030718,0.031562,0.025811,0.024761,0.023342
seq4001,38.550989,32.017778,28.333469,28.016598,32.312510,32.012635,27.248015,27.633785,30.985914,29.588782,26.547223,28.097471,30.998329,27.299058,23.229032,30.952746,23.792840,25.487005,21.197986,27.300657,23.850662,17.656353,22.725596,24.301138,24.171757,19.219854,21.781423,24.559984,17.570045,19.587219,0.000000,0.000157,0.000784,0.001725,0.000627,0.000314,0.000314,0.000470,0.001255,0.001411,0.000157,0.000470,0.000000,0.000784,0.000470,0.001098,0.000627,0.000784,0.000157,0.000941,0.048368,0.040172,0.035549,0.035151,0.040541,0.040165,0.034187,0.034671,0.038877,0.037124,0.033308,0.035253,0.038892,0.034251,0.029145,0.038835,0.029852,0.031978,0.026596,0.034253,0.029925,0.022153,0.028513,0.030490,0.030327,0.024114,0.027328,0.030814,0.022044,0.024575,20.314267,17.467280,18.011985,13.975208,17.011877,15.492807,16.199091,13.660184,17.574754,14.987236,13.454624,15.611898,15.281276,15.062823,13.432688,14.298756,15.509205,13.316668,12.926382,15.511282,12.779016,11.182737,11.820270,14.117231,13.247658,10.474116,10.569410,14.038680,9.946198,10.713856,0.000000,0.000856,0.000856,0.001427,0.000285,0.001427,0.003139,0.000571,0.000571,0.000856,0.002569,0.002283,0.000285,0.001142,0.000000,0.001998,0.001142,0.000285,0.001712,0.001427,0.046381,0.039881,0.041124,0.031908,0.038841,0.035373,0.036985,0.031188,0.040126,0.034218,0.030719,0.035644,0.034890,0.034391,0.030669,0.032646,0.035410,0.030404,0.029513,0.035415,0.029177,0.025532,0.026988,0.032232,0.030247,0.023914,0.024132,0.032053,0.022709,0.024461
seq4002,24.335277,25.924680,22.133361,23.726905,21.461999,21.954029,22.795615,23.974204,22.547382,23.182048,23.694059,22.263319,22.782230,21.597932,18.599289,20.346912,20.300028,21.090013,19.963527,19.396004,17.310098,17.798053,19.301192,17.149075,17.311187,17.692896,18.259154,20.843435,15.227775,15.374065,0.001393,0.000199,0.000199,0.001194,0.000995,0.001592,0.000597,0.000199,0.000597,0.002586,0.000398,0.000796,0.000796,0.000398,0.000199,0.000398,0.001592,0.001194,0.000199,0.000398,0.038730,0.041259,0.035225,0.037762,0.034157,0.034940,0.036279,0.038155,0.035884,0.036894,0.037709,0.035432,0.036258,0.034373,0.029601,0.032382,0.032308,0.033565,0.031772,0.030869,0.027549,0.028326,0.030718,0.027293,0.027551,0.028158,0.029060,0.033172,0.024235,0.024468,16.159329,16.330990,14.398832,16.761125,14.100270,14.057285,14.586479,16.944662,15.005560,15.822672,14.832234,13.716539,14.808177,13.627323,12.373586,12.815122,11.163267,13.239676,12.393359,11.839135,11.321904,11.040887,13.864813,12.565992,13.003894,11.892158,11.044024,13.343797,10.521363,11.137263,0.002110,0.000301,0.001206,0.000301,0.000301,0.000603,0.001808,0.002411,0.000904,0.000301,0.003918,0.000904,0.000603,0.001507,0.001206,0.000603,0.002411,0.000301,0.000603,0.001808,0.038965,0.039379,0.034720,0.040416,0.034000,0.033897,0.035173,0.040859,0.036183,0.038153,0.035765,0.033075,0.035707,0.032860,0.029837,0.030901,0.026918,0.031925,0.029884,0.028548,0.027301,0.026623,0.033432,0.030301,0.031356,0.028676,0.026631,0.032176,0.025370,0.026855
seq4003,24.804986,24.514938,22.713000,23.465466,22.968539,22.777094,23.454528,24.270541,21.994244,23.259492,23.056984,21.260614,21.890692,22.738357,22.094212,23.400596,22.489796,20.855252,21.319819,21.485299,21.221813,21.918262,21.144505,19.392755,19.337794,18.870873,19.083948,19.337066,17.317895,19.622705,0.001133,0.000000,0.000566,0.000944,0.001133,0.000944,0.000000,0.000566,0.000944,0.001699,0.000189,0.000944,0.000944,0.000755,0.000378,0.000944,0.000566,0.001322,0.000000,0.001133,0.037466,0.037028,0.034306,0.035443,0.034692,0.034403,0.035426,0.036659,0.033221,0.035132,0.034826,0.032113,0.033064,0.034345,0.033372,0.035345,0.033969,0.031500,0.032202,0.032452,0.032054,0.033106,0.031937,0.029291,0.029208,0.028503,0.028825,0.029207,0.026158,0.029639,17.115414,16.460357,15.592839,14.398313,14.865376,13.989378,14.557166,15.827604,14.737220,12.626696,13.690903,14.575965,13.040822,14.611379,14.732504,12.551217,14.315998,13.121493,11.051639,13.886209,11.548729,11.400324,12.324089,13.684067,11.431001,9.576312,12.639135,11.832515,9.726101,12.709486,0.001818,0.000606,0.001515,0.000909,0.000000,0.001212,0.001515,0.001515,0.000000,0.000909,0.002726,0.001515,0.000303,0.001818,0.001515,0.001515,0.000909,0.000000,0.001818,0.002121,0.041480,0.039892,0.037790,0.034895,0.036027,0.033904,0.035280,0.038359,0.035716,0.030601,0.033180,0.035325,0.031605,0.035411,0.035705,0.030418,0.034695,0.031800,0.026784,0.033654,0.027989,0.027629,0.029868,0.033164,0.027703,0.023209,0.030631,0.028677,0.023572,0.030802
seq4004,30.352481,29.024999,28.824836,28.172739,30.655578,29.043667,24.925819,27.564743,29.394235,28.567393,25.977371,32.802058,25.769417,26.693780,27.195671,27.444371,25.211150,25.063563,25.369811,20.777702,23.952774,21.205592,22.510727,16.015279,20.104135,20.203435,21.257741,19.010351,19.143870,18.295384,0.001315,0.000000,0.000493,0.000493,0.000822,0.002137,0.000164,0.000164,0.001151,0.001151,0.000493,0.000493,0.000000,0.000329,0.000986,0.000329,0.001151,0.001315,0.000164,0.000000,0.039910,0.038164,0.037901,0.037044,0.040308,0.038189,0.032774,0.036244,0.038650,0.037562,0.034157,0.043130,0.033883,0.035099,0.035759,0.036086,0.033149,0.032955,0.033358,0.027320,0.031495,0.027883,0.029599,0.021058,0.026434,0.026565,0.027951,0.024996,0.025172,0.024056,15.248112,16.422910,15.910352,16.520584,16.602877,14.093932,12.792688,13.744013,13.665938,13.815511,13.625787,17.217372,13.791520,12.732699,13.809108,13.831844,12.748167,13.811574,13.405300,11.778994,11.031347,10.480324,11.006512,8.875500,11.800995,12.656961,11.965971,8.961579,8.383883,7.616247,0.002510,0.001883,0.000941,0.000941,0.000000,0.000628,0.000941,0.004079,0.000314,0.000314,0.002197,0.002197,0.000941,0.001569,0.000000,0.000628,0.002197,0.000314,0.000000,0.002510,0.038278,0.041227,0.039941,0.041473,0.041679,0.035381,0.032114,0.034502,0.034306,0.034682,0.034206,0.043222,0.034622,0.031964,0.034666,0.034723,0.032003,0.034672,0.033652,0.029570,0.027693,0.026309,0.027630,0.022281,0.029625,0.031774,0.030039,0.022497,0.021047,0.019120
seq4005,25.424386,22.135634,22.801753,22.134885,23.632651,22.543014,24.181512,22.239398,19.305714,21.526500,21.700025,20.145479,21.155639,18.624739,22.241162,20.429686,20.054145,19.043491,22.345992,17.744255,20.352109,18.830552,19.777857,17.032713,16.561237,18.546937,14.838443,17.812474,14.331578,16.042549,0.001222,0.000000,0.001019,0.000000,0.000407,0.001630,0.000407,0.000407,0.000611,0.001222,0.000407,0.001019,0.000815,0.000815,0.000407,0.002241,0.000611,0.001426,0.000611,0.001019,0.041439,0.036079,0.037164,0.036078,0.038519,0.036743,0.039413,0.036248,0.031466,0.035086,0.035369,0.032835,0.034481,0.030356,0.036251,0.033298,0.032686,0.031039,0.036422,0.028921,0.033172,0.030692,0.032236,0.027762,0.026993,0.030230,0.024185,0.029032,0.023359,0.026148,17.951541,17.589811,15.979297,16.064489,17.578670,17.537761,16.638918,15.731855,13.458734,15.527939,14.183191,14.262780,14.254884,14.051271,17.067799,14.363007,13.433878,13.328394,16.143537,12.394830,13.689865,13.783624,13.207983,13.078291,10.642769,12.736831,11.341395,12.221114,11.809237,10.139535,0.001704,0.000568,0.001420,0.001420,0.000000,0.001136,0.000000,0.002272,0.000568,0.000568,0.001704,0.000852,0.000568,0.000568,0.001136,0.003124,0.000852,0.000852,0.001420,0.001988,0.040781,0.039959,0.036301,0.036494,0.039934,0.039841,0.037799,0.035739,0.030575,0.035275,0.032220,0.032401,0.032383,0.031921,0.038773,0.032629,0.030518,0.030279,0.036674,0.028158,0.031100,0.031313,0.030005,0.029710,0.024177,0.028935,0.025765,0.027763,0.026827,0.023034
seq4006,25.715130,24.350933,26.974215,27.357663,27.035235,22.736084,25.899463,28.971299,30.650131,28.221239,27.392552,23.963497,25.270781,28.703744,27.423352,23.572098,24.501911,21.039232,19.893718,23.389511,25.895901,19.655109,19.578324,17.403258,16.237955,19.181372,21.167527,20.478369,18.000412,18.699018,0.000869,0.000521,0.000869,0.001216,0.000348,0.001043,0.000000,0.000695,0.001911,0.002780,0.000174,0.000695,0.000521,0.000000,0.000000,0.000174,0.000521,0.001216,0.000000,0.000348,0.035747,0.033851,0.037498,0.038031,0.037582,0.031606,0.036004,0.040274,0.042608,0.039231,0.038079,0.033312,0.035130,0.039902,0.038122,0.032768,0.034061,0.029247,0.027655,0.032514,0.035999,0.027323,0.027216,0.024193,0.022573,0.026665,0.029426,0.028468,0.025023,0.025994,17.956906,19.168048,20.310287,17.377372,17.167009,16.393618,17.657436,19.552450,18.983688,17.042012,17.578691,15.891617,16.148448,15.790784,15.823342,16.083050,15.553748,14.669594,13.766858,14.596431,16.490124,13.623472,13.274267,12.700984,12.720389,13.201190,14.546739,12.482077,11.972158,10.934667,0.001304,0.000000,0.001043,0.001304,0.000782,0.000000,0.001825,0.001564,0.000000,0.001043,0.004171,0.002868,0.000261,0.000521,0.000782,0.000261,0.000782,0.000000,0.000521,0.001825,0.037453,0.039979,0.042361,0.036244,0.035805,0.034192,0.036828,0.040780,0.039594,0.035544,0.036664,0.033145,0.033681,0.032935,0.033003,0.033544,0.032440,0.030596,0.028713,0.030444,0.034393,0.028414,0.027686,0.026490,0.026531,0.027534,0.030340,0.026034,0.024970,0.022806
seq4007,23.775852,23.907070,19.883936,22.422416,23.642487,21.191447,22.568134,22.190641,17.090194,21.021875,21.297700,18.160979,19.436153,16.603612,18.777717,19.827726,19.749805,16.038334,18.643603,17.002592,17.047173,16.375808,15.439888,18.175070,16.041648,14.896809,14.993646,14.729028,14.974317,16.040140,0.002623,0.000000,0.000874,0.000437,0.000656,0.000437,0.000219,0.000656,0.001748,0.001093,0.000874,0.000656,0.000656,0.000437,0.000219,0.001530,0.001967,0.001967,0.000000,0.000437,0.041570,0.041800,0.034765,0.039204,0.041337,0.037051,0.039459,0.038799,0.029881,0.036755,0.037237,0.031753,0.033983,0.029030,0.032831,0.034667,0.034531,0.028042,0.032597,0.029728,0.029806,0.028632,0.026995,0.031778,0.028047,0.026046,0.026215,0.025752,0.026181,0.028045,14.922271,12.831996,14.022347,13.578994,14.495208,13.706998,13.266609,14.092720,12.788080,13.338042,11.301460,12.226977,11.386198,10.376182,11.222650,12.456355,12.629724,10.743104,12.011552,12.448891,10.960065,10.554635,11.008156,10.916668,8.617350,9.234159,10.162271,9.843613,9.556214,9.770600,0.004116,0.000343,0.001029,0.001372,0.000000,0.000686,0.000686,0.000686,0.000343,0.001029,0.001715,0.002744,0.001372,0.001029,0.001029,0.002401,0.003087,0.000000,0.000686,0.003087,0.040942,0.035207,0.038473,0.037257,0.039771,0.037608,0.036400,0.038666,0.035087,0.036596,0.031008,0.033547,0.031240,0.028469,0.030792,0.034177,0.034652,0.029476,0.032956,0.034156,0.030071,0.028959,0.030203,0.029952,0.023644,0.025336,0.027882,0.027008,0.026219,0.026808
seq4008,29.002338,26.339142,26.919492,24.803783,26.919352,23.895518,23.530856,22.474872,22.924120,23.335132,24.785384,23.529239,21.251836,24.553134,22.738961,22.528955,19.151758,20.866823,20.429413,22.496188,19.455575,19.958884,15.762600,18.558341,20.396376,18.332073,17.866158,17.354193,16.921526,19.223786,0.001126,0.000188,0.000750,0.000563,0.000563,0.000938,0.000375,0.000938,0.001876,0.001501,0.000375,0.000563,0.000750,0.000375,0.000188,0.001688,0.000938,0.000938,0.000000,0.000375,0.043527,0.039530,0.040401,0.037226,0.040401,0.035863,0.035315,0.033731,0.034405,0.035022,0.037198,0.035313,0.031895,0.036850,0.034127,0.033812,0.028743,0.031317,0.030661,0.033763,0.029199,0.029955,0.023657,0.027853,0.030611,0.027513,0.026814,0.026045,0.025396,0.028851,16.764608,14.408004,17.804500,15.626241,17.302001,14.044630,14.420379,15.251249,15.101287,17.270676,15.147258,16.111282,13.925560,15.030027,15.444976,13.871844,13.128848,13.792926,13.350135,12.993012,12.835414,12.819708,11.412893,12.449778,11.677015,11.723656,10.802985,10.147431,11.284824,11.065571,0.001756,0.000293,0.000878,0.001171,0.000293,0.000585,0.000878,0.001464,0.000585,0.001464,0.002342,0.002927,0.000585,0.000878,0.001171,0.002635,0.001464,0.000000,0.000585,0.001464,0.039261,0.033742,0.041696,0.036595,0.040519,0.032891,0.033771,0.035716,0.035365,0.040446,0.035473,0.037731,0.032612,0.035198,0.036170,0.032486,0.030746,0.032301,0.031264,0.030428,0.030059,0.030022,0.026728,0.029156,0.027346,0.027455,0.025299,0.023764,0.026428,0.025914
seq4009,27.638872,23.138804,22.544214,26.005892,24.306838,24.009054,26.072707,22.584915,26.475180,22.010110,20.535038,21.686513,21.923075,19.625978,20.867613,19.751850,20.978648,22.221578,20.981355,21.663374,19.289384,19.984795,20.332501,20.424284,17.157681,21.345557,15.152437,16.903619,17.206738,11.925775,0.002520,0.000194,0.000969,0.000388,0.001551,0.000969,0.000194,0.001357,0.001357,0.001163,0.000388,0.000194,0.000582,0.000582,0.000194,0.001163,0.000582,0.000969,0.000000,0.000194,0.042868,0.035888,0.034966,0.040335,0.037700,0.037238,0.040439,0.035029,0.041063,0.034138,0.031850,0.033636,0.034003,0.030440,0.032366,0.030635,0.032538,0.034466,0.032542,0.033600,0.029918,0.030996,0.031536,0.031678,0.026612,0.033107,0.023501,0.026218,0.026688,0.018497,18.794570,16.444976,15.854062,16.673835,15.858778,16.600757,17.290903,14.119264,17.390157,14.720909,13.809995,13.686274,14.653175,14.581092,13.733304,14.434419,14.686836,14.094062,14.069529,13.401601,11.770817,13.705852,12.876582,13.493175,11.182975,12.929713,11.144511,10.736355,10.618583,10.940054,0.003742,0.000288,0.000288,0.001439,0.000288,0.000863,0.000576,0.001439,0.000288,0.002015,0.001727,0.002015,0.000576,0.002303,0.000863,0.001727,0.000863,0.000000,0.000288,0.001439,0.043276,0.037866,0.036505,0.038393,0.036516,0.038224,0.039814,0.032511,0.040042,0.033896,0.031798,0.031514,0.033740,0.033574,0.031622,0.033236,0.033817,0.032453,0.032396,0.030858,0.027103,0.031559,0.029649,0.031069,0.025750,0.029772,0.025661,0.024721,0.024450,0.025190
