Feature,[G7.1.1.1],[G7.1.1.2],[G7.1.1.3],[G7.1.1.4],[G7.1.1.5],[G7.1.1.6],[G7.1.1.7],[G7.1.1.8],[G7.1.1.9],[G7.1.1.10],[G7.1.1.11],[G7.1.1.12],[G7.1.1.13],[G7.1.1.14],[G7.1.1.15],[G7.1.1.16],[G7.1.1.17],[G7.1.1.18],[G7.1.1.19],[G7.1.1.20],[G7.1.1.21],[G7.1.1.22],[G7.1.1.23],[G7.1.1.24],[G7.1.1.25],[G7.1.1.26],[G7.1.1.27],[G7.1.1.28],[G7.1.1.29],[G7.1.1.30],[G7.1.1.31],[G7.1.1.32],[G7.1.1.33],[G7.1.1.34],[G7.1.1.35],[G7.1.1.36],[G7.1.1.37],[G7.1.1.38],[G7.1.1.39],[G7.1.1.40],[G7.1.1.41],[G7.1.1.42],[G7.1.1.43],[G7.1.1.44],[G7.1.1.45],[G7.1.1.46],[G7.1.1.47],[G7.1.1.48],[G7.1.1.49],[G7.1.1.50],[G7.1.1.51],[G7.1.1.52],[G7.1.1.53],[G7.1.1.54],[G7.1.1.55],[G7.1.1.56],[G7.1.1.57],[G7.1.1.58],[G7.1.1.59],[G7.1.1.60],[G7.1.1.61],[G7.1.1.62],[G7.1.1.63],[G7.1.1.64],[G7.1.1.65],[G7.1.1.66],[G7.1.1.67],[G7.1.1.68],[G7.1.1.69],[G7.1.1.70],[G7.1.1.71],[G7.1.1.72],[G7.1.1.73],[G7.1.1.74],[G7.1.1.75],[G7.1.1.76],[G7.1.1.77],[G7.1.1.78],[G7.1.1.79],[G7.1.1.80]
seq0,0.000000,0.084122,0.000000,0.012017,0.060087,0.060087,0.060087,0.108157,0.084122,0.036052,0.060087,0.060087,0.000000,0.036052,0.024035,0.072105,0.084122,0.024035,0.036052,0.060087,0.006728,0.002724,-0.006564,-0.008162,-0.011660,-0.009780,-0.008462,-0.008588,0.004010,0.004375,0.016955,0.010137,0.000705,0.003222,-0.005848,-0.000196,-0.005216,-0.004618,-0.002319,-0.006401,-0.005526,-0.009155,0.005195,0.004419,0.003190,0.012960,-0.004643,-0.007308,-0.001551,0.007433,-0.001997,0.003158,-0.004237,-0.005532,0.001847,-0.002427,0.000558,0.000603,-0.002549,-0.003092,0.003060,0.005740,0.016315,0.008791,0.007915,0.006070,-0.008629,-0.010200,-0.015581,-0.010921,-0.005610,-0.007644,0.003344,0.001401,0.040660,0.050223,0.007499,0.001011,-0.007801,-0.009428
seq1,0.085725,0.000000,0.048986,0.024493,0.000000,0.036739,0.048986,0.183697,0.012246,0.012246,0.073479,0.024493,0.073479,0.036739,0.085725,0.183697,0.036739,0.000000,0.012246,0.000000,-0.000577,-0.001350,-0.002127,0.000274,0.002482,0.002469,-0.001888,0.001806,-0.005447,-0.003248,0.003723,0.002800,-0.001307,-0.001484,-0.000797,-0.001108,0.002915,0.002612,-0.000124,0.002400,-0.003361,-0.003074,0.003805,0.002763,0.001804,0.003925,-0.006299,-0.006005,-0.001376,-0.001588,-0.000879,-0.000552,-0.002057,-0.001000,-0.001129,-0.001486,0.006075,0.006246,-0.000945,-0.002012,-0.000040,0.003372,0.000532,0.002726,-0.001614,-0.005138,-0.000997,0.000703,0.004761,0.008423,0.000671,-0.002518,-0.000590,0.000250,0.000456,0.001552,0.005691,0.004546,0.000000,0.002614
seq2,0.085934,0.024553,0.012276,0.024553,0.036829,0.000000,0.085934,0.098210,0.012276,0.012276,0.085934,0.036829,0.036829,0.049105,0.147315,0.147315,0.036829,0.000000,0.012276,0.036829,-0.008200,-0.004732,0.005928,0.000035,-0.000065,0.003152,0.004357,0.003710,0.006944,0.005122,0.002349,-0.000231,0.005916,0.004995,-0.006598,-0.000084,0.009581,0.003531,-0.001473,0.004104,0.002461,0.000366,0.000028,0.005576,-0.002227,-0.003058,0.002252,0.000186,0.005752,0.000229,-0.004797,-0.002787,-0.002797,-0.001721,-0.001497,-0.001060,0.001069,-0.000691,-0.001481,-0.000692,0.006890,0.006912,-0.006687,-0.008987,-0.003492,-0.004837,0.005422,0.003321,-0.003142,-0.003381,0.003361,-0.003643,-0.001282,-0.003870,-0.001147,-0.005080,0.000200,-0.001089,0.004913,0.000061
seq3,0.115146,0.046059,0.023029,0.011515,0.011515,0.034544,0.034544,0.115146,0.000000,0.023029,0.103632,0.069088,0.011515,0.000000,0.080602,0.034544,0.046059,0.057573,0.000000,0.103632,-0.007407,-0.002942,0.004213,0.003347,0.003509,0.002480,0.007465,0.012639,0.003764,0.012858,0.000837,0.000162,0.008039,0.005232,0.001463,0.005217,0.002857,0.005044,0.003311,0.012421,0.007893,0.004299,-0.002214,-0.001607,-0.000838,-0.003050,0.003653,0.007185,0.008056,0.016212,-0.002020,-0.006504,-0.002028,-0.006784,0.002919,0.001330,0.001532,0.011702,-0.000974,0.004167,0.002590,-0.007776,-0.014092,-0.010912,0.004532,0.007933,-0.009358,-0.010317,0.008739,0.006693,-0.006791,-0.010011,-0.005035,-0.009574,-0.002589,-0.001211,-0.005291,0.003387,0.004927,0.005547
seq4,0.159358,0.092959,0.013280,0.066399,0.026560,0.146078,0.013280,0.066399,0.013280,0.053119,0.199198,0.000000,0.026560,0.026560,0.053119,0.053119,0.000000,0.013280,0.026560,0.013280,0.002365,0.001989,0.002296,0.005947,-0.004886,0.001091,-0.007478,-0.004544,0.000157,0.002272,-0.005042,-0.012990,0.003543,0.005001,0.002688,-0.005187,-0.012592,-0.014803,-0.004866,-0.013132,-0.000134,0.000381,-0.002832,-0.005268,0.005411,0.006935,0.004303,0.011123,0.001094,0.000902,-0.000149,0.011642,-0.007307,-0.004058,0.001733,0.002282,0.000393,-0.004785,-0.008131,-0.009490,0.008339,0.013212,-0.000784,-0.008884,-0.001347,-0.011062,-0.004603,-0.008050,-0.010152,-0.010461,0.009779,0.018855,0.002579,-0.005814,0.006379,0.006421,0.002030,0.008781,-0.011716,-0.011764
seq5,0.031368,0.020912,0.020912,0.031368,0.010456,0.083649,0.094105,0.010456,0.000000,0.000000,0.041824,0.094105,0.020912,0.031368,0.041824,0.135929,0.073193,0.010456,0.031368,0.052280,0.008764,0.009873,0.002211,0.001309,0.008230,-0.000022,0.007367,0.002666,0.000553,0.002084,-0.001800,-0.003254,0.014399,0.007723,0.005995,0.006308,0.009839,0.002230,0.002750,-0.001035,0.002637,-0.000470,0.007623,0.004819,0.001881,0.000506,0.010553,0.005000,0.007644,0.002493,0.008821,0.000271,-0.001934,-0.004322,-0.000492,-0.004589,0.005778,0.005694,-0.000169,-0.003547,-0.001418,0.002214,-0.000100,0.003636,0.008423,0.003869,0.004863,0.007355,-0.007033,-0.004665,-0.002966,-0.002480,0.001100,-0.005293,0.001522,-0.000032,0.002437,0.005394,0.006913,0.005385
seq6,0.076699,0.038349,0.038349,0.012783,0.038349,0.051133,0.089482,0.089482,0.051133,0.038349,0.115048,0.038349,0.051133,0.025566,0.076699,0.089482,0.012783,0.012783,0.025566,0.051133,0.004716,-0.000982,-0.008535,-0.010877,-0.004207,0.001269,0.002821,0.007167,-0.003986,-0.002288,-0.007577,-0.005832,-0.001461,-0.003696,-0.001016,-0.005738,-0.002209,-0.006290,0.003421,0.001948,0.008289,0.008289,-0.006311,-0.005201,0.001213,0.001890,-0.000833,0.000884,0.005303,0.013567,-0.004897,-0.006743,0.000559,-0.000879,0.006765,0.005489,0.000270,0.001351,-0.004674,-0.007130,-0.006295,-0.000935,-0.001004,-0.001115,0.000435,-0.001193,-0.000114,-0.008110,0.005426,0.002492,0.007204,0.011335,-0.011098,-0.012815,-0.001008,0.000067,0.007981,0.005836,-0.000357,0.006762
seq7,0.099106,0.037165,0.061941,0.049553,0.012388,0.049553,0.061941,0.037165,0.012388,0.012388,0.099106,0.012388,0.037165,0.037165,0.086718,0.086718,0.123883,0.012388,0.024777,0.037165,0.008970,0.007797,0.002793,0.008599,-0.001538,0.004124,-0.003035,0.000326,-0.003108,0.001470,-0.001881,-0.007831,0.003487,0.000645,-0.003476,-0.004863,0.000617,-0.002159,0.001402,-0.001938,-0.003012,-0.005653,-0.002141,-0.000245,-0.001113,-0.000923,0.010528,0.009546,0.002897,-0.000831,0.004606,0.006685,-0.001261,0.001831,-0.005833,-0.005195,-0.004911,0.001917,-0.005174,-0.007076,-0.000879,-0.004845,-0.003463,-0.005775,0.001981,-0.001532,0.005190,0.004154,0.002791,0.000915,-0.000962,0.000850,-0.005366,-0.005532,0.004340,0.003456,0.005736,0.001054,0.002050,-0.000272
seq8,0.201171,0.026240,0.000000,0.043733,0.000000,0.000000,0.052479,0.043733,0.000000,0.000000,0.017493,0.122452,0.008747,0.000000,0.069973,0.017493,0.069973,0.000000,0.000000,0.026240,0.006464,-0.000419,0.000519,-0.011379,0.004731,-0.003441,0.015836,0.008090,0.015504,0.011549,0.007439,-0.001591,0.002496,-0.011069,0.014377,0.008287,0.013650,0.008265,0.008456,-0.000218,0.006072,-0.003215,0.005414,-0.004849,0.017484,0.008919,0.010971,0.005620,0.005341,-0.004856,0.008522,-0.002916,0.011931,0.005678,0.016974,0.007158,0.004491,-0.002870,0.001201,-0.009707,0.012171,0.003500,0.020914,0.017470,0.006125,-0.003344,0.002365,-0.008828,0.007002,0.000280,0.014375,0.007128,0.014646,0.006255,0.003842,-0.004166,0.003316,-0.008702,0.012929,0.008089
seq9,0.035977,0.035977,0.047970,0.047970,0.000000,0.000000,0.131917,0.059962,0.011992,0.059962,0.095940,0.107932,0.023985,0.023985,0.023985,0.047970,0.023985,0.035977,0.011992,0.035977,-0.001654,-0.003206,-0.000904,-0.003842,-0.003714,-0.001801,0.004352,0.004748,0.000258,0.005939,-0.006672,-0.006683,0.014308,0.004582,0.004712,0.003722,0.010840,0.000057,-0.002274,-0.005380,0.004267,0.001746,0.007917,-0.004504,0.012853,0.006883,0.013927,0.006039,-0.007499,-0.011048,0.006258,-0.005618,-0.000214,0.000304,0.018301,0.011065,-0.001428,-0.005709,-0.003805,-0.006725,0.014381,0.013181,0.009160,-0.000114,0.011619,-0.002022,-0.003671,-0.005410,0.025367,0.018593,-0.001059,-0.007453,-0.004313,-0.009163,0.002063,-0.006006,-0.003266,0.000326,0.016580,0.007351
