Feature,[G6.1.1.1],[G6.1.1.2],[G6.1.1.3],[G6.1.1.4],[G6.1.1.5],[G6.1.1.6],[G6.1.1.7],[G6.1.1.8],[G6.1.1.9],[G6.1.1.10],[G6.1.1.11],[G6.1.1.12],[G6.1.1.13],[G6.1.1.14],[G6.1.1.15],[G6.1.1.16],[G6.1.1.17],[G6.1.1.18],[G6.1.1.19],[G6.1.1.20],[G6.1.1.21],[G6.1.1.22],[G6.1.1.23],[G6.1.1.24],[G6.1.1.25],[G6.1.1.26],[G6.1.1.27],[G6.1.1.28],[G6.1.1.29],[G6.1.1.30],[G6.1.1.31],[G6.1.1.32],[G6.1.1.33],[G6.1.1.34],[G6.1.1.35],[G6.1.1.36],[G6.1.1.37],[G6.1.1.38],[G6.1.1.39],[G6.1.1.40],[G6.1.1.41],[G6.1.1.42],[G6.1.1.43],[G6.1.1.44],[G6.1.1.45],[G6.1.1.46],[G6.1.1.47],[G6.1.1.48],[G6.1.1.49],[G6.1.1.50],[G6.1.1.1],[G6.1.1.2],[G6.1.1.3],[G6.1.1.4],[G6.1.1.5],[G6.1.1.6],[G6.1.1.7],[G6.1.1.8],[G6.1.1.9],[G6.1.1.10],[G6.1.1.11],[G6.1.1.12],[G6.1.1.13],[G6.1.1.14],[G6.1.1.15],[G6.1.1.16],[G6.1.1.17],[G6.1.1.18],[G6.1.1.19],[G6.1.1.20],[G6.1.1.21],[G6.1.1.22],[G6.1.1.23],[G6.1.1.24],[G6.1.1.25],[G6.1.1.26],[G6.1.1.27],[G6.1.1.28],[G6.1.1.29],[G6.1.1.30],[G6.1.1.31],[G6.1.1.32],[G6.1.1.33],[G6.1.1.34],[G6.1.1.35],[G6.1.1.36],[G6.1.1.37],[G6.1.1.38],[G6.1.1.39],[G6.1.1.40],[G6.1.1.41],[G6.1.1.42],[G6.1.1.43],[G6.1.1.44],[G6.1.1.45],[G6.1.1.46],[G6.1.1.47],[G6.1.1.48],[G6.1.1.49],[G6.1.1.50],[G6.1.1.1],[G6.1.1.2],[G6.1.1.3],[G6.1.1.4],[G6.1.1.5],[G6.1.1.6],[G6.1.1.7],[G6.1.1.8],[G6.1.1.9],[G6.1.1.10],[G6.1.1.11],[G6.1.1.12],[G6.1.1.13],[G6.1.1.14],[G6.1.1.15],[G6.1.1.16],[G6.1.1.17],[G6.1.1.18],[G6.1.1.19],[G6.1.1.20],[G6.1.1.21],[G6.1.1.22],[G6.1.1.23],[G6.1.1.24],[G6.1.1.25],[G6.1.1.26],[G6.1.1.27],[G6.1.1.28],[G6.1.1.29],[G6.1.1.30],[G6.1.1.31],[G6.1.1.32],[G6.1.1.33],[G6.1.1.34],[G6.1.1.35],[G6.1.1.36],[G6.1.1.37],[G6.1.1.38],[G6.1.1.39],[G6.1.1.40],[G6.1.1.41],[G6.1.1.42],[G6.1.1.43],[G6.1.1.44],[G6.1.1.45],[G6.1.1.46],[G6.1.1.47],[G6.1.1.48],[G6.1.1.49],[G6.1.1.50]
seq3000,0.042135,0.021068,0.028090,0.035113,0.000000,0.028090,0.042135,0.049158,0.000000,0.000000,0.056180,0.049158,0.021068,0.014045,0.014045,0.014045,0.000000,0.021068,0.028090,0.098316,0.015606,0.014921,0.012888,0.013049,0.015966,0.015241,0.014930,0.014581,0.015414,0.016675,0.015643,0.014087,0.014589,0.015161,0.014711,0.014638,0.010743,0.016375,0.013205,0.012567,0.014130,0.013467,0.015326,0.013676,0.014090,0.015881,0.013866,0.014853,0.015654,0.016261,0.074126,0.037063,0.049417,0.061771,0.000000,0.049417,0.074126,0.086480,0.000000,0.000000,0.098834,0.086480,0.037063,0.024709,0.024709,0.024709,0.000000,0.037063,0.049417,0.172960,0.000463,0.000313,0.000381,0.000353,0.000346,0.000479,0.000293,0.000425,0.000356,0.000487,0.000333,0.000376,0.000435,0.000361,0.000384,0.000321,0.000442,0.000335,0.000436,0.000365,0.000422,0.000436,0.000404,0.000423,0.000402,0.000447,0.000268,0.000446,0.000318,0.000408,0.039392,0.019696,0.026262,0.032827,0.000000,0.026262,0.039392,0.045958,0.000000,0.000000,0.052523,0.045958,0.019696,0.013131,0.013131,0.013131,0.000000,0.019696,0.026262,0.091915,0.017438,0.017254,0.013875,0.013566,0.018178,0.016942,0.018296,0.015648,0.016257,0.017774,0.015111,0.015033,0.014946,0.012354,0.018322,0.016642,0.011573,0.018676,0.017357,0.014007,0.015541,0.015133,0.015687,0.015683,0.014923,0.017021,0.014237,0.014576,0.017228,0.015492
seq3001,0.045663,0.038052,0.015221,0.000000,0.000000,0.197871,0.030442,0.038052,0.007610,0.007610,0.045663,0.007610,0.007610,0.015221,0.060884,0.030442,0.015221,0.000000,0.015221,0.030442,0.011034,0.011319,0.011862,0.010097,0.012513,0.012796,0.010423,0.010961,0.014082,0.013328,0.012062,0.012652,0.014883,0.014812,0.013363,0.013025,0.014936,0.014483,0.014017,0.014341,0.014740,0.012042,0.014825,0.016916,0.014093,0.013381,0.011937,0.012023,0.011340,0.012881,0.074603,0.062170,0.024868,0.000000,0.000000,0.323282,0.049736,0.062170,0.012434,0.012434,0.074603,0.012434,0.012434,0.024868,0.099471,0.049736,0.024868,0.000000,0.024868,0.049736,0.000160,0.000169,0.000168,0.000131,0.000162,0.000203,0.000192,0.000178,0.000190,0.000191,0.000180,0.000152,0.000159,0.000173,0.000241,0.000174,0.000177,0.000166,0.000236,0.000212,0.000171,0.000181,0.000166,0.000165,0.000146,0.000179,0.000159,0.000164,0.000210,0.000134,0.037900,0.031583,0.012633,0.000000,0.000000,0.164231,0.025266,0.031583,0.006317,0.006317,0.037900,0.006317,0.006317,0.012633,0.050533,0.025266,0.012633,0.000000,0.012633,0.025266,0.015024,0.015137,0.013956,0.012658,0.014049,0.016146,0.012251,0.013094,0.018381,0.016408,0.015371,0.013536,0.017404,0.017118,0.014764,0.013697,0.018304,0.018466,0.017519,0.016697,0.021871,0.015091,0.016708,0.020518,0.019136,0.020522,0.015909,0.018449,0.018374,0.018114
seq3002,0.029144,0.029144,0.021858,0.007286,0.058287,0.007286,0.021858,0.051001,0.000000,0.021858,0.080145,0.029144,0.007286,0.007286,0.036430,0.065573,0.043716,0.000000,0.021858,0.043716,0.012073,0.012888,0.013142,0.013509,0.013326,0.013099,0.015669,0.014426,0.015007,0.013857,0.011957,0.014782,0.015274,0.015353,0.014747,0.015419,0.013550,0.014306,0.012963,0.014313,0.015133,0.012534,0.013093,0.014290,0.015286,0.014720,0.013929,0.013819,0.010818,0.013845,0.049557,0.049557,0.037167,0.012389,0.099113,0.012389,0.037167,0.086724,0.000000,0.037167,0.136281,0.049557,0.012389,0.012389,0.061946,0.111502,0.074335,0.000000,0.037167,0.074335,0.000255,0.000252,0.000227,0.000250,0.000309,0.000263,0.000270,0.000269,0.000325,0.000257,0.000240,0.000337,0.000315,0.000283,0.000293,0.000355,0.000265,0.000327,0.000322,0.000353,0.000274,0.000270,0.000336,0.000333,0.000268,0.000329,0.000326,0.000352,0.000307,0.000306,0.025525,0.025525,0.019144,0.006381,0.051050,0.006381,0.019144,0.044669,0.000000,0.019144,0.070194,0.025525,0.006381,0.006381,0.031906,0.057431,0.038288,0.000000,0.019144,0.038288,0.013513,0.017201,0.018533,0.018192,0.017629,0.014810,0.017679,0.018347,0.017957,0.015068,0.012827,0.013921,0.017547,0.018760,0.018177,0.017168,0.014208,0.016920,0.014315,0.016743,0.017401,0.015401,0.012821,0.017342,0.018287,0.019319,0.016529,0.014563,0.011735,0.016587
seq3003,0.091320,0.070246,0.000000,0.014049,0.007025,0.021074,0.070246,0.056197,0.000000,0.000000,0.105370,0.000000,0.007025,0.007025,0.028099,0.035123,0.007025,0.007025,0.007025,0.028099,0.012332,0.016874,0.012955,0.011846,0.015814,0.017898,0.016138,0.016284,0.015377,0.014298,0.015571,0.014450,0.013692,0.013516,0.012521,0.013374,0.013766,0.012562,0.012561,0.012660,0.014534,0.016018,0.016722,0.015675,0.016271,0.016196,0.016693,0.016081,0.013474,0.011875,0.161580,0.124292,0.000000,0.024858,0.012429,0.037288,0.124292,0.099434,0.000000,0.000000,0.186438,0.000000,0.012429,0.012429,0.049717,0.062146,0.012429,0.012429,0.012429,0.049717,0.000214,0.000193,0.000157,0.000210,0.000202,0.000189,0.000183,0.000221,0.000187,0.000203,0.000202,0.000186,0.000172,0.000136,0.000195,0.000186,0.000134,0.000227,0.000209,0.000191,0.000162,0.000205,0.000168,0.000189,0.000248,0.000174,0.000179,0.000214,0.000166,0.000157,0.094549,0.072730,0.000000,0.014546,0.007273,0.021819,0.072730,0.058184,0.000000,0.000000,0.109095,0.000000,0.007273,0.007273,0.029092,0.036365,0.007273,0.007273,0.007273,0.029092,0.011132,0.014298,0.013303,0.011771,0.014618,0.014292,0.014057,0.016006,0.016253,0.014429,0.014205,0.014489,0.013275,0.012463,0.012285,0.012952,0.015337,0.014444,0.012595,0.012154,0.015669,0.014248,0.013835,0.013245,0.015425,0.014876,0.016023,0.014303,0.013911,0.012268
seq3004,0.020410,0.034017,0.020410,0.013607,0.020410,0.027214,0.047624,0.034017,0.006803,0.027214,0.061231,0.027214,0.020410,0.020410,0.027214,0.068034,0.006803,0.027214,0.013607,0.020410,0.012943,0.015027,0.014310,0.011534,0.014553,0.017221,0.014786,0.015028,0.017536,0.017822,0.015804,0.016343,0.016323,0.016366,0.014891,0.015606,0.014453,0.014411,0.015726,0.014508,0.014231,0.012188,0.015531,0.015338,0.014833,0.015477,0.016778,0.015603,0.014119,0.016435,0.037159,0.061931,0.037159,0.024773,0.037159,0.049545,0.086704,0.061931,0.012386,0.049545,0.111476,0.049545,0.037159,0.037159,0.049545,0.123863,0.012386,0.049545,0.024773,0.037159,0.000273,0.000270,0.000309,0.000288,0.000251,0.000344,0.000333,0.000279,0.000258,0.000258,0.000282,0.000277,0.000276,0.000343,0.000340,0.000301,0.000361,0.000288,0.000316,0.000304,0.000265,0.000346,0.000307,0.000317,0.000298,0.000324,0.000322,0.000320,0.000296,0.000351,0.016985,0.028308,0.016985,0.011323,0.016985,0.022646,0.039631,0.028308,0.005662,0.022646,0.050954,0.022646,0.016985,0.016985,0.022646,0.056615,0.005662,0.022646,0.011323,0.016985,0.015567,0.019689,0.016845,0.015101,0.017900,0.023207,0.016697,0.017723,0.020605,0.021168,0.018701,0.019810,0.018285,0.018267,0.015579,0.019545,0.019205,0.017903,0.019478,0.016731,0.017837,0.015001,0.017944,0.016205,0.019544,0.020309,0.020567,0.016602,0.015272,0.019789
seq3005,0.052187,0.013047,0.032617,0.039141,0.000000,0.019570,0.058711,0.026094,0.000000,0.045664,0.078281,0.019570,0.013047,0.026094,0.006523,0.032617,0.032617,0.000000,0.006523,0.019570,0.014995,0.016243,0.016816,0.017102,0.016653,0.015951,0.016667,0.016945,0.014920,0.016100,0.017996,0.015492,0.015573,0.015201,0.015408,0.014498,0.017867,0.018247,0.015238,0.016436,0.012536,0.013795,0.015844,0.013561,0.016422,0.015727,0.016880,0.013997,0.017378,0.017637,0.099024,0.024756,0.061890,0.074268,0.000000,0.037134,0.111402,0.049512,0.000000,0.086646,0.148536,0.037134,0.024756,0.049512,0.012378,0.061890,0.061890,0.000000,0.012378,0.037134,0.000354,0.000241,0.000356,0.000328,0.000398,0.000313,0.000343,0.000305,0.000320,0.000311,0.000358,0.000276,0.000374,0.000239,0.000406,0.000317,0.000416,0.000347,0.000392,0.000265,0.000275,0.000294,0.000284,0.000340,0.000349,0.000303,0.000361,0.000267,0.000329,0.000297,0.049299,0.012325,0.030812,0.036974,0.000000,0.018487,0.055462,0.024650,0.000000,0.043137,0.073949,0.018487,0.012325,0.024650,0.006162,0.030812,0.030812,0.000000,0.006162,0.018487,0.017293,0.018222,0.015380,0.018739,0.018744,0.016458,0.019010,0.016969,0.015272,0.015820,0.018045,0.017533,0.014647,0.016011,0.017553,0.016257,0.019694,0.016766,0.016567,0.019515,0.013005,0.016259,0.018091,0.014214,0.016771,0.015961,0.015695,0.016180,0.016970,0.019371
seq3006,0.027725,0.110900,0.009242,0.110900,0.000000,0.036967,0.092416,0.092416,0.018483,0.000000,0.000000,0.009242,0.018483,0.000000,0.018483,0.092416,0.027725,0.000000,0.073933,0.000000,0.008542,0.008045,0.007295,0.007090,0.008668,0.008514,0.008827,0.008574,0.007254,0.009360,0.008828,0.007473,0.007743,0.009550,0.009016,0.008762,0.008620,0.007991,0.010596,0.008931,0.008305,0.009178,0.009566,0.009892,0.008956,0.008152,0.009078,0.010838,0.008225,0.008799,0.037194,0.148778,0.012398,0.148778,0.000000,0.049593,0.123981,0.123981,0.024796,0.000000,0.000000,0.012398,0.024796,0.000000,0.024796,0.123981,0.037194,0.000000,0.099185,0.000000,0.000225,0.000239,0.000275,0.000223,0.000260,0.000312,0.000309,0.000288,0.000235,0.000251,0.000266,0.000289,0.000243,0.000279,0.000288,0.000307,0.000293,0.000264,0.000273,0.000255,0.000296,0.000247,0.000268,0.000283,0.000277,0.000249,0.000289,0.000283,0.000313,0.000271,0.022913,0.091654,0.007638,0.091654,0.000000,0.030551,0.076378,0.076378,0.015276,0.000000,0.000000,0.007638,0.015276,0.000000,0.015276,0.076378,0.022913,0.000000,0.061103,0.000000,0.012565,0.011946,0.010074,0.010078,0.013669,0.013223,0.013055,0.012782,0.010600,0.013816,0.012619,0.010975,0.010702,0.014150,0.012828,0.012566,0.013684,0.012053,0.015979,0.012740,0.014472,0.014610,0.014595,0.014641,0.013489,0.012305,0.014603,0.015939,0.010642,0.013574
seq3007,0.094101,0.023525,0.015683,0.062734,0.007842,0.031367,0.086259,0.047050,0.023525,0.007842,0.039209,0.007842,0.007842,0.000000,0.101942,0.031367,0.015683,0.000000,0.007842,0.015683,0.011821,0.013099,0.013632,0.013040,0.013347,0.014383,0.012122,0.012391,0.012507,0.011855,0.012029,0.011844,0.011674,0.012496,0.013283,0.013997,0.013173,0.010959,0.011020,0.013715,0.013404,0.013581,0.013086,0.012774,0.012820,0.011519,0.012345,0.010110,0.010864,0.009771,0.148867,0.037217,0.024811,0.099244,0.012406,0.049622,0.136461,0.074433,0.037217,0.012406,0.062028,0.012406,0.012406,0.000000,0.161272,0.049622,0.024811,0.000000,0.012406,0.024811,0.000246,0.000228,0.000217,0.000286,0.000218,0.000245,0.000234,0.000236,0.000272,0.000211,0.000295,0.000269,0.000257,0.000310,0.000229,0.000265,0.000293,0.000216,0.000322,0.000241,0.000246,0.000271,0.000244,0.000295,0.000242,0.000264,0.000271,0.000195,0.000250,0.000187,0.083285,0.020821,0.013881,0.055523,0.006940,0.027762,0.076345,0.041643,0.020821,0.006940,0.034702,0.006940,0.006940,0.000000,0.090226,0.027762,0.013881,0.000000,0.006940,0.013881,0.015205,0.016065,0.016535,0.017203,0.016605,0.016302,0.012722,0.014404,0.015621,0.014033,0.013044,0.013126,0.014968,0.013773,0.016710,0.017654,0.016292,0.012984,0.013045,0.015773,0.013619,0.013146,0.016258,0.013098,0.013149,0.014016,0.016440,0.013752,0.015027,0.014198
seq3008,0.034995,0.027996,0.041994,0.034995,0.000000,0.020997,0.013998,0.027996,0.000000,0.013998,0.062990,0.027996,0.006999,0.027996,0.027996,0.041994,0.027996,0.006999,0.048993,0.062990,0.015878,0.013520,0.017013,0.013890,0.016433,0.013956,0.014599,0.015063,0.014667,0.014574,0.016118,0.014494,0.015284,0.013872,0.016635,0.013045,0.013581,0.015453,0.013041,0.015840,0.013401,0.016348,0.013039,0.012931,0.013371,0.015092,0.015258,0.014198,0.013515,0.015975,0.061791,0.049433,0.074149,0.061791,0.000000,0.037074,0.024716,0.049433,0.000000,0.024716,0.111223,0.049433,0.012358,0.049433,0.049433,0.074149,0.049433,0.012358,0.086507,0.111223,0.000341,0.000384,0.000380,0.000336,0.000343,0.000343,0.000371,0.000316,0.000316,0.000374,0.000401,0.000363,0.000403,0.000307,0.000402,0.000420,0.000371,0.000374,0.000381,0.000406,0.000370,0.000353,0.000447,0.000387,0.000406,0.000454,0.000401,0.000387,0.000377,0.000438,0.030461,0.024369,0.036554,0.030461,0.000000,0.018277,0.012185,0.024369,0.000000,0.012185,0.054830,0.024369,0.006092,0.024369,0.024369,0.036554,0.024369,0.006092,0.042646,0.054830,0.017920,0.016704,0.018486,0.017148,0.019790,0.015195,0.017216,0.016705,0.015708,0.015606,0.018628,0.017369,0.018294,0.016766,0.019009,0.015837,0.014996,0.017017,0.015717,0.019633,0.016764,0.017957,0.016826,0.013781,0.013664,0.017555,0.016600,0.017795,0.017584,0.020346
seq3009,0.033337,0.026670,0.026670,0.020002,0.006667,0.013335,0.026670,0.033337,0.020002,0.026670,0.066675,0.026670,0.026670,0.013335,0.060007,0.026670,0.033337,0.000000,0.013335,0.033337,0.015528,0.017357,0.016316,0.015523,0.016459,0.016324,0.014882,0.013887,0.018131,0.014670,0.012338,0.015429,0.014923,0.017459,0.017313,0.013994,0.016157,0.018171,0.016031,0.013807,0.015015,0.013416,0.015007,0.014790,0.019669,0.016815,0.013033,0.014641,0.015486,0.014031,0.061947,0.049557,0.049557,0.037168,0.012389,0.024779,0.049557,0.061947,0.037168,0.049557,0.123894,0.049557,0.049557,0.024779,0.111504,0.049557,0.061947,0.000000,0.024779,0.061947,0.000296,0.000302,0.000347,0.000296,0.000332,0.000313,0.000294,0.000289,0.000234,0.000276,0.000236,0.000360,0.000318,0.000350,0.000335,0.000294,0.000271,0.000197,0.000270,0.000290,0.000366,0.000273,0.000385,0.000312,0.000335,0.000222,0.000226,0.000261,0.000255,0.000314,0.031241,0.024993,0.024993,0.018744,0.006248,0.012496,0.024993,0.031241,0.018744,0.024993,0.062482,0.024993,0.024993,0.012496,0.056233,0.024993,0.031241,0.000000,0.012496,0.031241,0.018087,0.018294,0.019119,0.015451,0.017100,0.016712,0.014446,0.017712,0.017786,0.014405,0.012245,0.016126,0.016289,0.021648,0.017265,0.015800,0.013698,0.018354,0.017422,0.014092,0.017976,0.014180,0.016044,0.017091,0.023529,0.017035,0.013720,0.014491,0.020502,0.013530
